,text,date
25,"Представьте: вам случайно приходит огромная сумма денег от известной на весь мир компании. Вы почти месяц пытаетесь вернуть ее через службу поддержки, но никто не отвечает. Круто, но все-таки жутковато, да? Именно в такой удивительной ситуации оказался «белый» хакер Сэм Карри из США, получивший ни за что $250 тыс. от Google.",2022-09-20 10:06:37
26,«Яндекс» добавил новую функцию в голосового помощника «Алиса» — подборки лицензионной музыки для магазинов и ресторанов. Партнером компании стал поставщик музыкальных и визуальных технологий Cubic Music. Весной бизнес в России начал отказываться от лицензионной фоновой музыки из-за ухода крупных лейблов и проблем с оплатой.,2022-09-19 19:08:32
27,"Бывшая девушка Илона Маска выставила на аукцион фотографии и подарки миллиардера. Продать коллекцию удалось за $165 тыс. Дженнифер Гвинн, с которой Маск встречался во время учебы в Пенсильванском университете, рассказала, что деньги пойдут на оплату колледжа для пасынка.",2022-09-19 07:36:58
28,Telegram добавил новые способы авторизации. Теперь кроме номера телефона можно использовать Gmail и Apple ID. Ну и самое важное (нет!) — пользоваться дополнительными реакциями смогут не только обладатели подписки Premium.,2022-09-18 11:58:56
29,Маркетплейсы Ozon и «Яндекс.Маркет» объявили о старте продаж нового iPhone 14 одновременно с мировыми. Из-за небольшого числа устройств на одной из площадок они уже закончились. У других ретейлеров доступен предзаказ.,2022-09-17 18:50:36
30,"Контент зарубежных стриминговых видеосервисов, который теперь в России нельзя смотреть официально, позволяет пиратам «процветать и усиливаться», говорят эксперты. Отсутствие голливудских новинок также играют важную роль в этом процессе. Летом «Яндекс» заблокировал 9,1 млн пиратских ссылок против 6,4 млн в прошлом году.",2022-09-17 11:17:37
31,"Эксперты dentsu и представители крупнейших российских компаний расскажут, как подойти к планированию 2023 года на фоне меняющихся на глазах рынка, экономики, клиентского запроса и медиаландшафта. На конференции гостей также ждут новые продукты и инструменты, аналитика и честная попытка заглянуть в будущее, а также беседы с селлерами, рекламодателями медиа и маркетплейсами о том, как бизнесу в этом будущем твёрдо стоять на ногах.",2022-09-16 15:26:37
32,"За последний год 46,6% российских госорганов подверглись хакерским атакам. Далеко не факт, что заметившие взлом смогли ему противостоять, отмечают эксперты. По их оценке, около 10% атак могли быть успешными и достигнуть цели.",2022-09-16 11:00:35
33,Новая модель ноутбука Pixelbook от Google не выйдет никогда. Компания закрыла проект в рамках сокращения расходов. Презентация Pixelbook была запланирована на 2023 год. Теперь его разработчики отправятся на другие проекты.,2022-09-15 17:22:36
34,"Bank of America, входящий в четверку крупнейших банков США, переводит своих российских банкиров в Дубай. Эксперты говорят о взрывном росте финансового сектора в регионе на фоне растущих цен на нефть. Кроме того, в первой половине 2022-го компании привлекли через IPO в Дубае $11 млрд, что превысило размещения в Европе.",2022-09-15 13:58:04
35,"Heinz и онлайн-комиссионка ThredUp выпустили коллекцию одежды с пятнами от кетчупа. Таким необычным образом производитель соусов и  продавец подержанных вещей решили обратить внимание на тему бережного обращения с одеждой. Деньги, вырученные от продажи, пойдут в фонд Rise Against Hunger, который борется с мировым голодом.",2022-09-14 15:34:23
36,"Россия предложит сохранить порог беспошлинного ввоза товаров на уровне €1 тыс. до июля 2023 года. До 1 апреля этого года беспошлинный порог составлял €200, но был поднят в качестве антикризисной меры. По задумке, это должно позволить россиянам совершать покупки в иностранных онлайн-магазинах, несмотря на все ограничения. Однако с учетом проблем с логистикой и ухода Visa и Mastercard выгодно это прежде всего крупным маркетплейсам с отлаженными каналами поставок.",2022-09-14 09:31:49
37,"Владимир Путин заявил, что количество работников, находящихся под риском увольнения, увеличилось с начала года почти в два раза. Речь идет о 234 тыс. человек. Одновременно с этим президент заявил, что ситуация на рынке труда стабильная.",2022-09-13 19:43:49
38,"Вы можете быть слишком молоды, чтобы начать бизнес, но никогда не будете слишком старыми для этого. Такой вывод сделали американские ученые. Они проанализировали список из 2,7 млн фаундеров и выяснили, что у 50-летних предпринимателей в два раза больше шансов добиться успеха, чем у 30-летних.",2022-09-13 11:39:11
39,"В России планируют к началу следующего года запустить серийное производство отечественных банкоматов. Первые образцы для тестирования банки получат этой осенью. Однако эксперты считают, что на создание банкомата полностью российского производства уйдут годы.",2022-09-12 18:23:55
40,"Вышла новая печатная Жлобология 2.1: откуда берутся деньги и почему не у меня.

Это журналистское расследование о природе богатства, финансовых потоках в мире и о том, как точно не получится разбогатеть.

Её автор, Алексей Марков, - кандидат экономических наук и инвестор с 20-летним стажем, также известен как музыкант в стиле хеви-метал, поэтому и подход к подаче материала у него очень рок-н-ролльный. Алексей не стесняется в выражениях и называет вещи своими именами.

Купить печатную версию можно на book24, последняя электронная версия всегда на сайте жлобология.рф, а если не хочется читать книгу, можно просто подписаться на канал Хулиномика - это бесплатно.",2022-09-12 16:11:29
41,"Глава МИД Черногории Ранко Кривокапич считает, что страна, будучи «преданным партнером» ЕС, должна ввести ограничения на въезд для россиян. Сейчас для посещения страны достаточно загранпаспорта. Находиться на ее территории без визы можно до 30 дней.",2022-09-12 13:33:06
42,"Опрос платформы Klook показал, что 49% людей нервничают из-за путешествий в одиночку. На проблему обратил внимание американец Итан Сербантес. Он запустил мобильное приложение OfftheGrid. В нем по аналогии с Tinder можно свайпать фотографии других пользователей и искать партнеров для путешествий.",2022-09-12 09:21:09
